"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G10430",1098.81453438035,0.0257643733036711,0.0273585729845414,0.941729428586387,0.346331184212804,0.420264155199362
"AT1G05670",238.464312296801,0.164533386749167,0.0576693431520085,2.85304769841889,0.00433021214503643,0.00618988241304572
"AT1G64110",126.527054510263,-2.19672756558581,0.148137800281111,-14.8289468415032,9.52150526322981e-50,3.15216252334359e-49
"AT1G65220",2475.09585617491,-0.254564911986235,0.0335043967763207,-7.59795538734036,3.00846000611801e-14,6.09731300603009e-14
"AT1G13635",161.931576938064,-4.67444948006269,0.117641204795349,-39.7347977538522,0,0
"AT1G54950",3.10869508385582,-4.83659972051698,0.55353408022009,-8.73767287931739,2.37961369109954e-18,5.23855632689531e-18
"AT1G55730",822.175742097969,-1.12127608368097,0.0511767054171936,-21.9098919037539,2.09077803325806e-106,1.08428265819938e-105
"AT1G07310",2307.71057131735,0.0209717462238546,0.0517608905487927,0.405165869472154,0.685355591112478,0.785651531275279
"AT1G77230",137.939484495397,-0.22302075270522,0.0650044415849622,-3.43085406577529,0.000601684194809117,0.000898841053634493
"AT1G52400",5106.0319722157,6.05672186937602,0.280782792298354,21.5708442094994,3.37478950746001e-103,1.7126360758023e-102
"AT1G16430",101.461007698319,-0.0210312624629522,0.0707532197580472,-0.297248132804022,0.766277076895297,0.865865885125617
"AT1G27752",1406.68318057294,0.025666345774215,0.030151700753927,0.85124039879814,0.394635825605893,0.474636293185382
"AT1G14880",280.425038869055,10.2459844520792,0.602193201560135,17.0144472331045,6.41760213381486e-65,2.42935156393268e-64
"AT1G11190",522.192580036831,-3.12028263465095,0.0818293435212576,-38.1315858148167,3.84056989138235e-318,5.39414004616996e-317
"AT1G43100",0,NA,NA,NA,NA,NA
"AT1G26650",638.551851901662,0.444939581723612,0.0460116554539614,9.67014938570971,4.03788237710495e-22,9.48499769583338e-22
"AT1G54420",0.045811767210497,0.142180205465778,2.95661270345986,0.0480888840460561,0.961645405203519,0.973959479660407
"AT1G34640",105.28089868062,4.03247915702996,0.120500789967253,33.46433793609,1.59237779136969e-245,1.65534338710054e-244
"AT1G50310",12.4090347224905,-0.616728722664787,0.17229852763034,-3.57941957570268,0.000344358203369009,0.000520722572997447
"AT1G49430",1996.31367221728,-0.465723528434596,0.0817440780107007,-5.69733661163357,1.21693511613121e-08,2.16534354157734e-08
"AT1G74240",169.977719596124,0.144346983096627,0.0596268734739964,2.4208376976126,0.0154847891898525,0.0213734253661093
"AT1G01760",102.167462534692,0.296356658880086,0.066572764869491,4.45162011013157,8.52248409073835e-06,1.37591372883834e-05
"AT1G61160",0,NA,NA,NA,NA,NA
"AT1G47480",906.642369111096,-4.91585572831187,0.132014196435485,-37.2373264470403,1.69930581277963e-303,2.26380571776605e-302
"AT1G65820",4580.55118023771,-1.29033486236062,0.0448631037648393,-28.761604839563,6.48500471115509e-182,5.13807628560121e-181
"AT1G22900",91.0962613415293,2.77371800731788,0.110307793716917,25.1452586789659,1.59245179479532e-139,1.01342167897285e-138
"AT1G76820",176.632629909911,1.00355237711054,0.0814096765892426,12.3271878621263,6.4664262371835e-35,1.81533391668138e-34
"AT1G52080",324.874181970732,-1.73873380170332,0.0507424136833046,-34.2658867698956,2.5296458313081e-257,2.76681886796136e-256
"AT1G35180",65.5573872726365,2.24365743527019,0.132667653300759,16.9118649455854,3.67879358013708e-64,1.38482516560966e-63
"AT1G30070",304.385811942065,-0.371479710472748,0.0755537474104074,-4.9167608914866,8.7987912408139e-07,1.47318820563355e-06
